datetime,humidity,pressure,temperature,wind_direction,wind_speed,weather_condition,city,country,latitude,longitude
2023-06-17T04:00:00.000+07:00,99.0,1003.0,288.15,32.0,2.22,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-17T05:00:00.000+07:00,99.0,1003.0,287.15,18.0,3.33,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-24T08:00:00.000+07:00,93.0,1012.0,294.15,138.0,0.56,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-24T16:00:00.000+07:00,73.0,1010.0,296.15,4.0,2.22,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-26T00:00:00.000+07:00,53.0,1009.0,294.15,43.0,3.33,sunny,Montreal,Canada,45.508839,-73.587807
2023-06-26T12:00:00.000+07:00,81.0,1006.0,297.15,106.0,4.17,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-27T13:00:00.000+07:00,97.0,1005.0,294.15,185.0,3.33,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-27T20:00:00.000+07:00,79.0,1004.0,297.15,143.0,2.22,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-29T05:00:00.000+07:00,96.0,1013.0,289.15,282.0,1.39,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-29T10:00:00.000+07:00,69.0,1015.0,293.15,287.0,2.5,rainy,Montreal,Canada,45.508839,-73.587807
2023-06-30T19:00:00.000+07:00,63.0,1014.0,297.15,88.0,1.11,cloudy,Montreal,Canada,45.508839,-73.587807
2023-07-03T15:00:00.000+07:00,89.0,1010.0,298.15,72.0,1.67,cloudy,Montreal,Canada,45.508839,-73.587807
2023-07-03T18:00:00.000+07:00,78.0,1010.0,299.15,67.0,2.78,cloudy,Montreal,Canada,45.508839,-73.587807
2023-07-07T15:00:00.000+07:00,67.0,1010.0,300.15,181.0,2.78,cloudy,Montreal,Canada,45.508839,-73.587807
2023-07-11T00:00:00.000+07:00,98.0,1009.0,292.15,307.0,1.11,rainy,Montreal,Canada,45.508839,-73.587807
2023-07-13T20:00:00.000+07:00,98.0,1005.0,297.15,54.0,4.17,rainy,Montreal,Canada,45.508839,-73.587807
2023-07-13T23:00:00.000+07:00,98.0,1006.0,294.15,43.0,3.61,rainy,Montreal,Canada,45.508839,-73.587807
2023-07-16T03:00:00.000+07:00,96.0,1009.0,294.15,263.0,1.11,cloudy,Montreal,Canada,45.508839,-73.587807
2023-07-17T22:00:00.000+07:00,79.0,1012.0,294.15,208.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-07-21T08:00:00.000+07:00,90.0,1006.0,292.15,124.0,4.44,rainy,Montreal,Canada,45.508839,-73.587807
2023-07-22T14:00:00.000+07:00,67.0,1005.0,295.15,325.0,5.0,rainy,Montreal,Canada,45.508839,-73.587807
2023-07-28T12:00:00.000+07:00,64.0,1012.0,302.15,249.0,5.83,sunny,Montreal,Canada,45.508839,-73.587807
2023-08-03T16:00:00.000+07:00,91.0,1013.0,295.15,193.0,5.56,rainy,Montreal,Canada,45.508839,-73.587807
2023-08-04T03:00:00.000+07:00,98.0,1010.0,290.15,218.0,2.5,rainy,Montreal,Canada,45.508839,-73.587807
2023-08-04T18:00:00.000+07:00,62.0,1011.0,296.15,313.0,1.39,rainy,Montreal,Canada,45.508839,-73.587807
2023-08-10T13:00:00.000+07:00,62.0,1002.0,297.15,167.0,3.33,rainy,Montreal,Canada,45.508839,-73.587807
2023-08-10T23:00:00.000+07:00,99.0,989.0,291.15,244.0,3.06,rainy,Montreal,Canada,45.508839,-73.587807
2023-08-15T12:00:00.000+07:00,85.0,1011.0,293.15,84.0,2.22,cloudy,Montreal,Canada,45.508839,-73.587807
2023-08-18T00:00:00.000+07:00,85.0,1007.0,294.15,145.0,5.56,cloudy,Montreal,Canada,45.508839,-73.587807
2023-08-26T02:00:00.000+07:00,98.0,1008.0,288.15,350.0,1.67,foggy,Montreal,Canada,45.508839,-73.587807
2023-08-28T05:00:00.000+07:00,98.0,1017.0,286.15,236.0,0.56,foggy,Montreal,Canada,45.508839,-73.587807
2023-08-29T07:00:00.000+07:00,87.0,1014.0,289.15,102.0,0.83,cloudy,Montreal,Canada,45.508839,-73.587807
2023-08-29T20:00:00.000+07:00,74.0,1011.0,296.15,202.0,2.5,cloudy,Montreal,Canada,45.508839,-73.587807
2023-08-30T02:00:00.000+07:00,98.0,1006.0,292.15,162.0,1.39,foggy,Montreal,Canada,45.508839,-73.587807
2023-09-05T07:00:00.000+07:00,88.0,1013.0,294.15,292.0,0.28,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-06T08:00:00.000+07:00,94.0,1012.0,296.15,223.0,1.11,foggy,Montreal,Canada,45.508839,-73.587807
2023-09-06T21:00:00.000+07:00,69.0,1006.0,300.15,184.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-09T00:00:00.000+07:00,71.0,1017.0,290.15,298.0,1.67,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-10T22:00:00.000+07:00,89.0,1018.0,291.15,58.0,0.83,cloudy,Montreal,Canada,45.508839,-73.587807
2023-09-11T12:00:00.000+07:00,55.0,1019.0,295.15,33.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-11T15:00:00.000+07:00,49.0,1019.0,297.15,28.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-13T05:00:00.000+07:00,98.0,1012.0,291.15,168.0,3.33,foggy,Montreal,Canada,45.508839,-73.587807
2023-09-15T18:00:00.000+07:00,63.0,1019.0,290.15,163.0,1.39,cloudy,Montreal,Canada,45.508839,-73.587807
2023-09-17T13:00:00.000+07:00,56.0,1012.0,294.15,244.0,3.61,cloudy,Montreal,Canada,45.508839,-73.587807
2023-09-18T06:00:00.000+07:00,86.0,1012.0,287.15,230.0,2.78,cloudy,Montreal,Canada,45.508839,-73.587807
2023-09-19T23:00:00.000+07:00,84.0,1014.0,288.15,292.0,2.22,cloudy,Montreal,Canada,45.508839,-73.587807
2023-09-21T13:00:00.000+07:00,45.0,1026.0,293.15,243.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-22T15:00:00.000+07:00,43.0,1026.0,295.15,140.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-26T09:00:00.000+07:00,70.0,1032.0,284.15,43.0,4.44,sunny,Montreal,Canada,45.508839,-73.587807
2023-09-28T03:00:00.000+07:00,77.0,1027.0,285.15,50.0,1.11,sunny,Montreal,Canada,45.508839,-73.587807
2023-10-01T08:00:00.000+07:00,96.0,1023.0,285.15,225.0,2.22,foggy,Montreal,Canada,45.508839,-73.587807
2023-10-02T09:00:00.000+07:00,55.0,1024.0,290.15,74.0,1.39,sunny,Montreal,Canada,45.508839,-73.587807
2023-10-04T07:00:00.000+07:00,85.0,1022.0,290.15,216.0,1.94,sunny,Montreal,Canada,45.508839,-73.587807
2023-10-04T13:00:00.000+07:00,50.0,1021.0,299.15,214.0,2.22,sunny,Montreal,Canada,45.508839,-73.587807
2023-10-07T06:00:00.000+07:00,96.0,1006.0,290.15,162.0,4.17,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-08T06:00:00.000+07:00,89.0,998.0,283.15,271.0,3.61,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-09T08:00:00.000+07:00,90.0,1007.0,278.15,201.0,4.17,cloudy,Montreal,Canada,45.508839,-73.587807
2023-10-09T10:00:00.000+07:00,63.0,1006.0,283.15,195.0,4.44,cloudy,Montreal,Canada,45.508839,-73.587807
2023-10-10T20:00:00.000+07:00,87.0,1006.0,285.15,40.0,1.39,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-18T13:00:00.000+07:00,58.0,1019.0,288.15,220.0,2.78,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-21T01:00:00.000+07:00,88.0,997.0,285.15,119.0,2.5,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-22T10:00:00.000+07:00,93.0,997.0,279.15,244.0,5.56,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-22T12:00:00.000+07:00,93.0,999.0,279.15,238.0,4.44,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-24T08:00:00.000+07:00,95.0,1026.0,278.15,191.0,2.22,foggy,Montreal,Canada,45.508839,-73.587807
2023-10-25T01:00:00.000+07:00,80.0,1020.0,283.15,153.0,2.78,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-25T19:00:00.000+07:00,91.0,1019.0,287.15,231.0,6.11,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-27T15:00:00.000+07:00,91.0,1010.0,289.15,230.0,4.44,rainy,Montreal,Canada,45.508839,-73.587807
2023-10-29T13:00:00.000+07:00,43.0,1023.0,280.15,267.0,1.67,cloudy,Montreal,Canada,45.508839,-73.587807
2023-10-30T02:00:00.000+07:00,96.0,1018.0,275.15,102.0,1.11,snowy,Montreal,Canada,45.508839,-73.587807
2023-10-30T05:00:00.000+07:00,96.0,1016.0,274.15,38.0,2.5,snowy,Montreal,Canada,45.508839,-73.587807
