datetime,humidity,pressure,temperature,wind_direction,wind_speed,weather_condition,city,country,latitude,longitude
2023-06-19T23:00:00.000+07:00,74.0,1013.0,295.15,76.0,2.78,rainy,Indianapolis,United States,39.768379,-86.158043
2023-06-20T12:00:00.000+07:00,60.0,1014.0,300.15,72.0,5.56,sunny,Indianapolis,United States,39.768379,-86.158043
2023-06-20T17:00:00.000+07:00,67.0,1014.0,299.15,80.0,5.28,rainy,Indianapolis,United States,39.768379,-86.158043
2023-06-22T05:00:00.000+07:00,78.0,1015.0,290.15,85.0,1.67,sunny,Indianapolis,United States,39.768379,-86.158043
2023-06-26T17:00:00.000+07:00,59.0,1002.0,299.15,282.0,5.83,rainy,Indianapolis,United States,39.768379,-86.158043
2023-06-28T00:00:00.000+07:00,63.0,1013.0,292.15,357.0,2.78,sunny,Indianapolis,United States,39.768379,-86.158043
2023-06-29T20:00:00.000+07:00,69.0,1009.0,301.15,182.0,3.33,rainy,Indianapolis,United States,39.768379,-86.158043
2023-06-30T12:00:00.000+07:00,52.0,1011.0,302.15,227.0,4.44,sunny,Indianapolis,United States,39.768379,-86.158043
2023-07-01T14:00:00.000+07:00,57.0,1011.0,300.15,228.0,2.5,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-02T01:00:00.000+07:00,94.0,1009.0,294.15,157.0,2.5,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-02T16:00:00.000+07:00,73.0,1007.0,301.15,215.0,3.89,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-04T13:00:00.000+07:00,62.0,1017.0,302.15,217.0,1.39,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-04T20:00:00.000+07:00,56.0,1015.0,301.15,134.0,1.67,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-06T17:00:00.000+07:00,71.0,1013.0,299.15,314.0,4.72,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-06T18:00:00.000+07:00,70.0,1013.0,299.15,326.0,4.17,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-07T14:00:00.000+07:00,46.0,1015.0,302.15,299.0,0.83,sunny,Indianapolis,United States,39.768379,-86.158043
2023-07-08T13:00:00.000+07:00,85.0,1011.0,297.15,162.0,2.78,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-08T20:00:00.000+07:00,83.0,1007.0,297.15,21.0,1.67,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-09T20:00:00.000+07:00,58.0,1012.0,297.15,14.0,2.5,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-07-16T14:00:00.000+07:00,39.0,1012.0,302.15,270.0,4.17,sunny,Indianapolis,United States,39.768379,-86.158043
2023-07-16T22:00:00.000+07:00,94.0,1013.0,296.15,223.0,2.78,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-07-18T14:00:00.000+07:00,45.0,1016.0,300.15,233.0,1.67,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-22T17:00:00.000+07:00,47.0,1012.0,300.15,320.0,2.22,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-07-23T09:00:00.000+07:00,63.0,1015.0,294.15,226.0,2.5,sunny,Indianapolis,United States,39.768379,-86.158043
2023-07-24T16:00:00.000+07:00,42.0,1016.0,303.15,93.0,1.67,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-26T06:00:00.000+07:00,95.0,1015.0,294.15,150.0,2.5,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-27T02:00:00.000+07:00,94.0,1011.0,298.15,190.0,3.89,sunny,Indianapolis,United States,39.768379,-86.158043
2023-07-29T05:00:00.000+07:00,81.0,1013.0,299.15,262.0,3.33,rainy,Indianapolis,United States,39.768379,-86.158043
2023-07-29T06:00:00.000+07:00,71.0,1013.0,297.15,232.0,1.94,rainy,Indianapolis,United States,39.768379,-86.158043
2023-08-01T12:00:00.000+07:00,53.0,1022.0,297.15,85.0,2.5,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-08-06T11:00:00.000+07:00,92.0,1010.0,293.15,269.0,3.61,rainy,Indianapolis,United States,39.768379,-86.158043
2023-08-07T16:00:00.000+07:00,91.0,1007.0,296.15,267.0,4.72,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-08-09T22:00:00.000+07:00,94.0,1006.0,293.15,205.0,3.33,rainy,Indianapolis,United States,39.768379,-86.158043
2023-08-12T18:00:00.000+07:00,58.0,1010.0,302.15,275.0,3.06,rainy,Indianapolis,United States,39.768379,-86.158043
2023-08-13T03:00:00.000+07:00,86.0,1013.0,294.15,144.0,1.67,sunny,Indianapolis,United States,39.768379,-86.158043
2023-08-16T17:00:00.000+07:00,51.0,1015.0,299.15,84.0,1.39,sunny,Indianapolis,United States,39.768379,-86.158043
2023-08-20T01:00:00.000+07:00,61.0,1016.0,294.15,176.0,2.5,sunny,Indianapolis,United States,39.768379,-86.158043
2023-08-21T04:00:00.000+07:00,68.0,1018.0,297.15,170.0,1.39,sunny,Indianapolis,United States,39.768379,-86.158043
2023-08-21T10:00:00.000+07:00,55.0,1020.0,301.15,92.0,1.11,sunny,Indianapolis,United States,39.768379,-86.158043
2023-08-30T16:00:00.000+07:00,31.0,1014.0,299.15,37.0,5.0,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-02T10:00:00.000+07:00,54.0,1021.0,299.15,238.0,3.61,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-05T05:00:00.000+07:00,90.0,1015.0,296.15,172.0,1.94,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-05T06:00:00.000+07:00,71.0,1014.0,297.15,183.0,1.94,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-09-05T18:00:00.000+07:00,37.0,1012.0,307.15,212.0,6.11,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-09-05T22:00:00.000+07:00,65.0,1013.0,299.15,214.0,4.44,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-09-08T12:00:00.000+07:00,54.0,1016.0,296.15,336.0,2.78,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-09-09T20:00:00.000+07:00,68.0,1019.0,294.15,63.0,3.06,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-11T02:00:00.000+07:00,91.0,1020.0,289.15,130.0,1.67,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-11T08:00:00.000+07:00,97.0,1021.0,287.15,158.0,1.67,foggy,Indianapolis,United States,39.768379,-86.158043
2023-09-12T07:00:00.000+07:00,95.0,1017.0,290.15,282.0,1.11,foggy,Indianapolis,United States,39.768379,-86.158043
2023-09-17T04:00:00.000+07:00,52.0,1013.0,290.15,167.0,1.67,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-09-20T12:00:00.000+07:00,31.0,1020.0,298.15,158.0,2.78,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-20T15:00:00.000+07:00,26.0,1018.0,302.15,173.0,3.61,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-22T17:00:00.000+07:00,41.0,1019.0,303.15,121.0,1.67,sunny,Indianapolis,United States,39.768379,-86.158043
2023-09-28T15:00:00.000+07:00,70.0,1017.0,295.15,157.0,1.39,cloudy,Indianapolis,United States,39.768379,-86.158043
2023-10-02T23:00:00.000+07:00,69.0,1021.0,295.15,139.0,2.22,sunny,Indianapolis,United States,39.768379,-86.158043
2023-10-03T16:00:00.000+07:00,26.0,1017.0,304.15,170.0,3.33,sunny,Indianapolis,United States,39.768379,-86.158043
2023-10-11T21:00:00.000+07:00,59.0,1008.0,287.15,98.0,2.78,sunny,Indianapolis,United States,39.768379,-86.158043
